Bx,By,Bmagnetic,CoreLoss
1.22513e-06,-1.1414e-12,1.22513e-06,5.30664e-12
1.22513e-06,-3.39177e-12,1.22513e-06,5.30665e-12
1.22513e-06,-5.5466e-12,1.22513e-06,5.30668e-12
1.22514e-06,-7.54789e-12,1.22514e-06,5.30672e-12
1.22515e-06,-9.34518e-12,1.22515e-06,5.30679e-12
1.22516e-06,-1.08971e-11,1.22516e-06,5.30687e-12
1.22517e-06,-1.21715e-11,1.22517e-06,5.30696e-12
1.22518e-06,-1.3145e-11,1.22518e-06,5.30707e-12
1.22519e-06,-1.38019e-11,1.22519e-06,5.30718e-12
1.22521e-06,-1.41325e-11,1.22521e-06,5.3073e-12
1.22522e-06,-1.41325e-11,1.22522e-06,5.30743e-12
1.22524e-06,-1.38019e-11,1.22524e-06,5.30755e-12
1.22525e-06,-1.3145e-11,1.22525e-06,5.30767e-12
1.22526e-06,-1.21715e-11,1.22526e-06,5.30778e-12
1.22527e-06,-1.08971e-11,1.22527e-06,5.30789e-12
1.22529e-06,-9.34518e-12,1.22529e-06,5.30798e-12
1.22529e-06,-7.54789e-12,1.22529e-06,5.30806e-12
1.2253e-06,-5.5466e-12,1.2253e-06,5.30813e-12
1.22531e-06,-3.39177e-12,1.22531e-06,5.30818e-12
1.22531e-06,-1.1414e-12,1.22531e-06,5.30821e-12
1.22531e-06,4.87535e-31,1.22531e-06,5.30822e-12
1.1623e-06,-2.31524e-12,1.1623e-06,4.77626e-12
1.1623e-06,-6.87906e-12,1.1623e-06,4.77627e-12
1.1623e-06,-1.12467e-11,1.1623e-06,4.7763e-12
1.16231e-06,-1.52998e-11,1.16231e-06,4.77635e-12
1.16231e-06,-1.89358e-11,1.16231e-06,4.77641e-12
1.16232e-06,-2.20716e-11,1.16232e-06,4.77649e-12
1.16233e-06,-2.46438e-11,1.16233e-06,4.77658e-12
1.16235e-06,-2.66066e-11,1.16235e-06,4.77669e-12
1.16236e-06,-2.79299e-11,1.16236e-06,4.7768e-12
1.16237e-06,-2.85957e-11,1.16237e-06,4.77691e-12
1.16239e-06,-2.85957e-11,1.16239e-06,4.77703e-12
1.1624e-06,-2.79299e-11,1.1624e-06,4.77715e-12
1.16242e-06,-2.66066e-11,1.16242e-06,4.77727e-12
1.16243e-06,-2.46438e-11,1.16243e-06,4.77738e-12
1.16244e-06,-2.20716e-11,1.16244e-06,4.77748e-12
1.16245e-06,-1.89358e-11,1.16245e-06,4.77757e-12
1.16246e-06,-1.52998e-11,1.16246e-06,4.77765e-12
1.16247e-06,-1.12467e-11,1.16247e-06,4.77772e-12
1.16248e-06,-6.87906e-12,1.16248e-06,4.77776e-12
1.16248e-06,-2.31524e-12,1.16248e-06,4.77779e-12
1.16248e-06,-1.1414e-12,1.16248e-06,4.7778e-12
1.09946e-06,-3.55575e-12,1.09946e-06,4.27379e-12
1.09946e-06,-1.05625e-11,1.09946e-06,4.2738e-12
1.09946e-06,-1.72616e-11,1.09946e-06,4.27383e-12
1.09947e-06,-2.34686e-11,1.09947e-06,4.27388e-12
1.09948e-06,-2.90265e-11,1.09948e-06,4.27394e-12
1.09949e-06,-3.381e-11,1.09949e-06,4.27402e-12
1.0995e-06,-3.77254e-11,1.0995e-06,4.27411e-12
1.09951e-06,-4.07078e-11,1.09951e-06,4.27421e-12
1.09953e-06,-4.27155e-11,1.09953e-06,4.27432e-12
1.09954e-06,-4.37247e-11,1.09954e-06,4.27444e-12
1.09956e-06,-4.37247e-11,1.09956e-06,4.27455e-12
1.09957e-06,-4.27155e-11,1.09957e-06,4.27467e-12
1.09959e-06,-4.07078e-11,1.09959e-06,4.27479e-12
1.0996e-06,-3.77254e-11,1.0996e-06,4.2749e-12
1.09961e-06,-3.381e-11,1.09961e-06,4.275e-12
1.09963e-06,-2.90265e-11,1.09963e-06,4.27509e-12
1.09964e-06,-2.34686e-11,1.09964e-06,4.27517e-12
1.09964e-06,-1.72616e-11,1.09964e-06,4.27523e-12
1.09965e-06,-1.05625e-11,1.09965e-06,4.27528e-12
1.09965e-06,-3.55575e-12,1.09965e-06,4.27531e-12
1.09966e-06,-2.31524e-12,1.09966e-06,4.27532e-12
1.03662e-06,-4.901e-12,1.03662e-06,3.79922e-12
1.03662e-06,-1.45536e-11,1.03662e-06,3.79923e-12
1.03663e-06,-2.37684e-11,1.03663e-06,3.79926e-12
1.03663e-06,-3.22866e-11,1.03663e-06,3.79931e-12
1.03664e-06,-3.98918e-11,1.03664e-06,3.79937e-12
1.03665e-06,-4.64163e-11,1.03665e-06,3.79945e-12
1.03666e-06,-5.174e-11,1.03666e-06,3.79954e-12
1.03668e-06,-5.57836e-11,1.03668e-06,3.79965e-12
1.03669e-06,-5.84996e-11,1.03669e-06,3.79976e-12
1.03671e-06,-5.98629e-11,1.03671e-06,3.79987e-12
1.03673e-06,-5.98629e-11,1.03673e-06,3.79999e-12
1.03674e-06,-5.84996e-11,1.03674e-06,3.80011e-12
1.03676e-06,-5.57836e-11,1.03676e-06,3.80023e-12
1.03677e-06,-5.174e-11,1.03677e-06,3.80034e-12
1.03679e-06,-4.64163e-11,1.03679e-06,3.80044e-12
1.0368e-06,-3.98918e-11,1.0368e-06,3.80053e-12
1.03681e-06,-3.22866e-11,1.03681e-06,3.80061e-12
1.03682e-06,-2.37684e-11,1.03682e-06,3.80068e-12
1.03683e-06,-1.45536e-11,1.03683e-06,3.80072e-12
1.03683e-06,-4.901e-12,1.03683e-06,3.80075e-12
1.03683e-06,-3.55575e-12,1.03683e-06,3.80076e-12
9.73779e-07,-6.39565e-12,9.73779e-07,3.35255e-12
